Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate
86000,2748.9,860.22,12475.832,-154,,,5352.19944,122.439888,750,,,63844.40867,0.257623155,0.3148
87000,2748.9,860.22,12680.832,-154,,,5443.69944,140.739888,750,,,64529.60867,0.25828036,0.3148
88000,2748.9,860.22,12885.832,-154,,,5538.95764,159.791528,750,,,65210.29883,0.258973877,0.31930984
89000,2748.9,860.22,13090.832,-154,,,5650.55764,182.111528,750,,,65871.37883,0.259872148,0.33892
90000,2748.9,860.22,13295.832,-154,,,5762.15764,204.431528,750,,,66532.45883,0.260750457,0.33892
91000,2748.9,860.22,13500.832,-154,,,5873.75764,226.751528,750,,,67193.53883,0.261609463,0.33892
92000,2748.9,860.22,13705.832,-154,,,5985.35764,249.071528,750,,,67854.61883,0.262449795,0.33892
93000,2748.9,860.22,13910.832,-154,,,6096.95764,282.1762784,750,,,68504.91408,0.263388021,0.34970475
94000,2748.9,860.22,14115.832,-154,,,6208.55764,344.6722784,750,,,69125.81808,0.264618957,0.379096
95000,2748.9,860.22,14320.832,-154,,,6320.15764,407.1682784,750,,,69746.72208,0.265823978,0.379096
96000,2748.9,860.22,14565.642,-154,,,6431.75764,469.6642784,750,,,70327.81608,0.267418582,0.418906
97000,2748.9,860.22,14825.642,-154,,,6543.35764,532.1602784,750,,,70893.72008,0.269136906,0.434096
98000,2748.9,860.22,15085.642,-154,,,6654.95764,594.6562784,750,,,71459.62408,0.270820162,0.434096
99000,2748.9,860.22,15345.642,-154,,,6766.55764,657.1522784,750,,,72025.52808,0.272469413,0.434096
100000,2748.9,860.22,15605.642,-154,,,6878.15764,719.6482784,750,,,72591.43208,0.274085679,0.434096
110000,2748.9,860.22,18205.642,-154,,,7994.15764,1344.608278,750,,,78250.47208,0.288632072,0.434096
120000,2748.9,860.22,20805.642,-154,,,9110.15764,1969.568278,750,,,83909.51208,0.300754066,0.434096
130000,2748.9,860.22,23405.642,-154,,,10226.15764,2594.528278,750,,,89568.55208,0.311011138,0.434096
140000,2748.9,860.22,26005.642,-154,,,11342.15764,3219.488278,750,,,95227.59208,0.319802914,0.434096
150000,2748.9,860.22,28676.552,-154,,,12458.15764,3844.448278,750,,,100815.7221,0.327895186,0.441187
160000,2748.9,860.22,31576.552,-154,,,13674.15844,4525.408726,750,,,106018.7608,0.337382745,0.479696125
170000,2748.9,860.22,34476.552,-154,,,14890.15844,5206.368726,750,,,111221.8008,0.345754113,0.479696
180000,2748.9,860.22,37376.552,-154,,,16106.15844,5887.328726,750,,,116424.8408,0.353195329,0.479696
190000,2748.9,860.22,40276.552,-154,,,17322.15844,6568.288726,750,,,121627.8808,0.359853259,0.479696
200000,2748.9,860.22,43176.552,-154,,,18538.15844,7249.248726,750,,,126830.9208,0.365845396,0.479696
210000,2748.9,860.22,46076.552,-154,,,19754.15844,7930.208726,900,,,131883.9608,0.371981139,0.494696
220000,2748.9,860.22,49361.552,-154,,,20970.15844,8611.168726,900,,,136702.0008,0.378627269,0.518196
230000,2748.9,860.22,52661.552,-154,,,22286.15844,9348.128726,900,,,141349.0408,0.385438953,0.535296
240000,2748.9,860.22,55961.552,-154,,,23602.15844,10085.08873,900,,,145996.0808,0.391682997,0.535296
250000,2748.9,860.22,59261.552,-154,,,24918.15844,10822.04873,900,,,150643.1208,0.397427517,0.535296
260000,2748.9,860.22,62561.552,-154,,,26234.15844,11559.00873,900,,,155290.1608,0.402730151,0.535296
270000,2748.9,860.22,65861.552,-154,,,27550.15844,12295.96873,900,,,159937.2008,0.407639997,0.535296
280000,2748.9,860.22,69161.552,-154,,,28866.15844,13032.92873,900,,,164584.2408,0.41219914,0.535296
290000,2748.9,860.22,72461.552,-154,,,30182.15844,13769.88873,900,,,169231.2808,0.416443859,0.535296
300000,2748.9,860.22,75761.552,-154,,,31498.15844,14506.84873,900,,,173878.3208,0.420405597,0.535296
310000,2748.9,860.22,79061.552,-154,,,32814.15844,15243.80873,900,,,178525.3608,0.424111739,0.535296
320000,2748.9,860.22,82361.552,-154,,,34130.15844,15980.76873,900,,,183172.4008,0.427586247,0.535296
330000,2748.9,860.22,85661.552,-154,,,35446.15844,16717.72873,900,,,187819.4408,0.430850179,0.535296
340000,2748.9,860.22,88961.552,-154,,,36762.15844,17454.68873,900,,,192466.4808,0.433922115,0.535296
350000,2748.9,860.22,92261.552,-154,,,38078.15844,18191.64873,900,,,197113.5208,0.436818512,0.535296
360000,2748.9,860.22,95561.552,-154,,,39394.15844,18928.60873,900,,,201760.5608,0.439553998,0.535296
370000,2748.9,860.22,98861.552,-154,,,40710.15844,19665.56873,900,,,206407.6008,0.442141619,0.535296
380000,2748.9,860.22,102161.552,-154,,,42026.15844,20402.52873,900,,,211054.6408,0.44459305,0.535296
390000,2748.9,860.22,105461.552,-154,,,43342.15844,21139.48873,900,,,215701.6808,0.446918767,0.535296
400000,2748.9,860.22,108761.552,-154,,,44658.15844,21876.44873,900,,,220348.7208,0.449128198,0.535296
