Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
170000,2748.9,860.22,32666.202,-307,,,14436.41594,4952.272926,750,,,,-2266.622,116159.6111,0.31670817,0.536696
180000,2748.9,860.22,35566.202,-307,,,15652.41594,5633.232926,750,,,,-1696.622,120792.6511,0.328929716,0.536696
190000,2748.9,860.22,38466.202,-307,,,16868.41594,6314.192926,750,,,,-1126.622,125425.6911,0.339864784,0.536696
200000,2748.9,860.22,41366.202,-307,,,18084.41594,6995.152926,750,,,,-556.622,130058.7311,0.349706344,0.536696
210000,2748.9,860.22,44266.202,-307,,,19300.41594,7676.112926,900,,,,,134555.1491,0.359261195,0.5503582
220000,2748.9,860.22,47551.202,-307,,,20516.41594,8357.072926,900,,,,,139373.1891,0.366485504,0.518196
230000,2748.9,860.22,50851.202,-307,,,21832.41594,9094.032926,900,,,,,144020.2291,0.373825091,0.535296
240000,2748.9,860.22,54151.202,-307,,,23148.41594,9830.992926,900,,,,,148667.2691,0.380553045,0.535296
250000,2748.9,860.22,57451.202,-307,,,24464.41594,10567.95293,900,,,,,153314.3091,0.386742763,0.535296
260000,2748.9,860.22,60751.202,-307,,,25780.41594,11304.91293,900,,,,,157961.3491,0.392456349,0.535296
270000,2748.9,860.22,64051.202,-307,,,27096.41594,12041.87293,900,,,,,162608.3891,0.397746707,0.535296
280000,2748.9,860.22,67351.202,-307,,,28412.41594,12778.83293,900,,,,,167255.4291,0.402659182,0.535296
290000,2748.9,860.22,70651.202,-307,,,29728.41594,13515.79293,900,,,,,171902.4691,0.407232865,0.535296
300000,2748.9,860.22,73951.202,-307,,,31044.41594,14252.75293,900,,,,,176549.5091,0.411501636,0.535296
310000,2748.9,860.22,77251.202,-307,,,32360.41594,14989.71293,900,,,,,181196.5491,0.415495003,0.535296
320000,2748.9,860.22,80551.202,-307,,,33676.41594,15726.67293,900,,,,,185843.5891,0.419238784,0.535296
330000,2748.9,860.22,83851.202,-307,,,34992.41594,16463.63293,900,,,,,190490.6291,0.422755669,0.535296
340000,2748.9,860.22,87151.202,-307,,,36308.41594,17200.59293,900,,,,,195137.6691,0.426065679,0.535296
350000,2748.9,860.22,90451.202,-307,,,37624.41594,17937.55293,900,,,,,199784.7091,0.429186545,0.535296
360000,2748.9,860.22,93751.202,-307,,,38940.41594,18674.51293,900,,,,,204431.7491,0.43213403,0.535296
370000,2748.9,860.22,97051.202,-307,,,40256.41594,19411.47293,900,,,,,209078.7891,0.434922192,0.535296
380000,2748.9,860.22,100351.202,-307,,,41572.41594,20148.43293,900,,,,,213725.8291,0.437563608,0.535296
390000,2748.9,860.22,103651.202,-307,,,42888.41594,20885.39293,900,,,,,218372.8691,0.440069566,0.535296
400000,2748.9,860.22,106951.202,-307,,,44204.41594,21622.35293,900,,,,,223019.9091,0.442450227,0.535296
