Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
230000,2748.9,860.22,50851.202,-383,,,21832.41594,9094.032926,900,,,,-2230.74,146326.9691,0.363795786,0.630296
240000,2748.9,860.22,54151.202,-383,,,23148.41594,9830.992926,900,,,,-1280.74,150024.0091,0.374899962,0.630296
250000,2748.9,860.22,57451.202,-383,,,24464.41594,10567.95293,900,,,,-330.74,153721.0491,0.385115803,0.630296
260000,2748.9,860.22,60751.202,-383,,,25780.41594,11304.91293,900,,,,,158037.3491,0.392164042,0.56837
270000,2748.9,860.22,64051.202,-383,,,27096.41594,12041.87293,900,,,,,162684.3891,0.397465225,0.535296
280000,2748.9,860.22,67351.202,-383,,,28412.41594,12778.83293,900,,,,,167331.4291,0.402387753,0.535296
290000,2748.9,860.22,70651.202,-383,,,29728.41594,13515.79293,900,,,,,171978.4691,0.406970796,0.535296
300000,2748.9,860.22,73951.202,-383,,,31044.41594,14252.75293,900,,,,,176625.5091,0.411248303,0.535296
310000,2748.9,860.22,77251.202,-383,,,32360.41594,14989.71293,900,,,,,181272.5491,0.415249842,0.535296
320000,2748.9,860.22,80551.202,-383,,,33676.41594,15726.67293,900,,,,,185919.5891,0.419001284,0.535296
330000,2748.9,860.22,83851.202,-383,,,34992.41594,16463.63293,900,,,,,190566.6291,0.422525366,0.535296
340000,2748.9,860.22,87151.202,-383,,,36308.41594,17200.59293,900,,,,,195213.6691,0.42584215,0.535296
350000,2748.9,860.22,90451.202,-383,,,37624.41594,17937.55293,900,,,,,199860.7091,0.428969402,0.535296
360000,2748.9,860.22,93751.202,-383,,,38940.41594,18674.51293,900,,,,,204507.7491,0.431922919,0.535296
370000,2748.9,860.22,97051.202,-383,,,40256.41594,19411.47293,900,,,,,209154.7891,0.434716786,0.535296
380000,2748.9,860.22,100351.202,-383,,,41572.41594,20148.43293,900,,,,,213801.8291,0.437363608,0.535296
390000,2748.9,860.22,103651.202,-383,,,42888.41594,20885.39293,900,,,,,218448.8691,0.439874695,0.535296
400000,2748.9,860.22,106951.202,-383,,,44204.41594,21622.35293,900,,,,,223095.9091,0.442260227,0.535296
