Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate,Type,Rate of Change,OCB,CCB
140000,2748.9,860.22,26005.642,-154,0,0,11342.15764,3219.488278,750,0,0,95227.59208,0.319802914,0.434096,Single No Kids,565.904,,
150000,2748.9,860.22,28676.552,-154,0,0,12458.15764,3844.448278,750,0,0,100815.7221,0.327895186,0.441187,Single No Kids,558.813002,,
160000,2748.9,860.22,31576.552,-154,0,0,13674.15844,4525.408726,750,0,0,106018.7608,0.337382745,0.479696125,Single No Kids,520.30387,,
170000,2748.9,860.22,34476.552,-154,0,0,14890.15844,5206.368726,750,0,0,111221.8008,0.345754113,0.479696,Single No Kids,520.304,,
180000,2748.9,860.22,37376.552,-154,0,0,16106.15844,5887.328726,750,0,0,116424.8408,0.353195329,0.479696,Single No Kids,520.304,,
190000,2748.9,860.22,40276.552,-154,0,0,17322.15844,6568.288726,750,0,0,121627.8808,0.359853259,0.479696,Single No Kids,520.304,,
200000,2748.9,860.22,43176.552,-154,0,0,18538.15844,7249.248726,750,0,0,126830.9208,0.365845396,0.479696,Single No Kids,520.304,,
210000,2748.9,860.22,46076.552,-154,0,0,19754.15844,7930.208726,900,0,0,131883.9608,0.371981139,0.494696,Single No Kids,505.304,,
220000,2748.9,860.22,49361.552,-154,0,0,20970.15844,8611.168726,900,0,0,136702.0008,0.378627269,0.518196,Single No Kids,481.804,,
230000,2748.9,860.22,52661.552,-154,0,0,22286.15844,9348.128726,900,0,0,141349.0408,0.385438953,0.535296,Single No Kids,464.704,,
240000,2748.9,860.22,55961.552,-154,0,0,23602.15844,10085.08873,900,0,0,145996.0808,0.391682997,0.535296,Single No Kids,464.704,,
250000,2748.9,860.22,59261.552,-154,0,0,24918.15844,10822.04873,900,0,0,150643.1208,0.397427517,0.535296,Single No Kids,464.704,,
260000,2748.9,860.22,62561.552,-154,0,0,26234.15844,11559.00873,900,0,0,155290.1608,0.402730151,0.535296,Single No Kids,464.704,,
270000,2748.9,860.22,65861.552,-154,0,0,27550.15844,12295.96873,900,0,0,159937.2008,0.407639997,0.535296,Single No Kids,464.704,,
